Variable,Min,0.01,0.05,0.1,0.25,0.5,0.75,0.9,0.95,0.99,Max
N_FixedAcidity,-18.1,-10.9,-3.6,-1.2,5.2,6.9,9.5,15.6,17.8,24.4,34.4
N_VolatileAcidity,-2.8,-1.9,-1.0,-0.7,0.1,0.3,0.6,1.4,1.6,2.6,3.7
N_CitricAcid,-3.2,-2.2,-1.2,-0.8,0.0,0.3,0.6,1.4,1.8,2.7,3.9
N_ResidualSugar,-127.8,-91.0,-52.7,-39.7,-2.0,3.9,15.9,49.8,62.7,99.2,141.2
N_Chlorides,-1.2,-0.9,-0.5,-0.4,0.0,0.0,0.2,0.5,0.6,1.0,1.4
N_FreeSulfurDioxide,-555.0,-388.0,-224.0,-171.0,0.0,30.0,70.0,230.0,284.0,469.0,623.0
N_TotalSulfurDioxide,-823.0,-531.0,-273.0,-185.0,27.0,123.0,208.0,422.0,514.0,767.0,1057.0
N_Density,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.1
N_pH,0.5,1.3,2.1,2.3,3.0,3.2,3.5,4.1,4.4,5.1,6.1
N_Sulphates,-3.1,-2.1,-1.1,-0.7,0.3,0.5,0.9,1.8,2.1,3.2,4.2
N_Alcohol,-4.7,0.1,4.1,5.7,9.0,10.4,12.4,15.2,16.7,20.3,26.5
N_LabelAppeal,-2.0,-2.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,2.0,2.0
N_AcidIndex,4.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,10.0,13.0,17.0
N_STARS,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0
